X_Flat,Y_Flat,Z_Zero,Intensity
-1.8367346938775508,-8.775510204081632,0.0,-0.043581899658441114
-1.4285714285714288,-8.775510204081632,0.0,-0.06199905311431497
-1.020408163265305,-8.775510204081632,0.0,-0.05228653616887577
-0.612244897959183,-8.775510204081632,0.0,-0.012099711653208306
-0.204081632653061,-8.775510204081632,0.0,0.05092863913274441
0.204081632653061,-8.775510204081632,0.0,0.11836961172270011
0.612244897959183,-8.775510204081632,0.0,0.16358068672404819
1.0204081632653068,-8.775510204081632,0.0,0.1581257833104825
1.4285714285714288,-8.775510204081632,0.0,0.08106738623025528
1.8367346938775508,-8.775510204081632,0.0,-0.07147323859075161
2.2448979591836746,-8.775510204081632,0.0,-0.2802233968188855
2.6530612244897966,-8.775510204081632,0.0,-0.503691747404493
3.0612244897959187,-8.775510204081632,0.0,-0.6877757094632351
3.4693877551020407,-8.775510204081632,0.0,-0.7823951994010379
3.8775510204081627,-8.775510204081632,0.0,-0.7599975710402873
4.2857142857142865,-8.775510204081632,0.0,-0.628705454585539
4.6938775510204085,-8.775510204081632,0.0,-0.4336102312301379
5.1020408163265305,-8.775510204081632,0.0,-0.24356610771585113
5.510204081632654,-8.775510204081632,0.0,-0.12666715776628196
5.918367346938776,-8.775510204081632,0.0,-0.12304749422099281
6.326530612244898,-8.775510204081632,0.0,-0.22612320264167607
6.73469387755102,-8.775510204081632,0.0,-0.3812593016418471
7.142857142857142,-8.775510204081632,0.0,-0.5043957283411797
7.551020408163264,-8.775510204081632,0.0,-0.5147821122876652
7.95918367346939,-8.775510204081632,0.0,-0.36924848339102856
8.367346938775512,-8.775510204081632,0.0,-0.08362225877182705
8.775510204081634,-8.775510204081632,0.0,0.2687022856751239
9.183673469387756,-8.775510204081632,0.0,0.5818763834756226
9.591836734693878,-8.775510204081632,0.0,0.7570779829806797
10.0,-8.775510204081632,0.0,0.7404309824014846
-10.0,-8.36734693877551,0.0,0.19318535846390494
-9.591836734693878,-8.36734693877551,0.0,0.24201307038649084
-9.183673469387756,-8.36734693877551,0.0,0.313304229463398
-8.775510204081632,-8.36734693877551,0.0,0.38615649002089214
-8.36734693877551,-8.36734693877551,0.0,0.4326156785153843
-7.959183673469388,-8.36734693877551,0.0,0.4302081190618815
-7.551020408163265,-8.36734693877551,0.0,0.37095227051537183
-7.142857142857142,-8.36734693877551,0.0,0.2636081122092619
-6.73469387755102,-8.36734693877551,0.0,0.12928228220051588
-6.326530612244898,-8.36734693877551,0.0,-0.00682427486730508
-5.918367346938775,-8.36734693877551,0.0,-0.12376812564553633
-5.5102040816326525,-8.36734693877551,0.0,-0.21032036355159722
-5.1020408163265305,-8.36734693877551,0.0,-0.2662963745611744
-4.6938775510204085,-8.36734693877551,0.0,-0.3002944353633451
-4.285714285714286,-8.36734693877551,0.0,-0.3254283732078718
-3.8775510204081627,-8.36734693877551,0.0,-0.35477028882740846
-3.4693877551020407,-8.36734693877551,0.0,-0.3976975732852382
-3.0612244897959187,-8.36734693877551,0.0,-0.4576274485226777
-2.6530612244897958,-8.36734693877551,0.0,-0.5311050229607565
-2.244897959183673,-8.36734693877551,0.0,-0.6080423806437978
-1.8367346938775508,-8.36734693877551,0.0,-0.6730180386138882
-1.4285714285714288,-8.36734693877551,0.0,-0.7077365205750734
-1.020408163265305,-8.36734693877551,0.0,-0.6947844950385252
-0.612244897959183,-8.36734693877551,0.0,-0.6225304600370591
-0.204081632653061,-8.36734693877551,0.0,-0.4903757750337741
0.204081632653061,-8.36734693877551,0.0,-0.3127779779396124
0.612244897959183,-8.36734693877551,0.0,-0.11996254257449607
1.0204081632653068,-8.36734693877551,0.0,0.046470545491769266
1.4285714285714288,-8.36734693877551,0.0,0.14344675727433454
1.8367346938775508,-8.36734693877551,0.0,0.13993591101462954
2.2448979591836746,-8.36734693877551,0.0,0.029849725091938673
2.6530612244897966,-8.36734693877551,0.0,-0.16111487608757147
3.0612244897959187,-8.36734693877551,0.0,-0.3791081831439589
3.4693877551020407,-8.36734693877551,0.0,-0.5572357711887714
3.8775510204081627,-8.36734693877551,0.0,-0.6383167760767875
4.2857142857142865,-8.36734693877551,0.0,-0.5972481711141286
4.6938775510204085,-8.36734693877551,0.0,-0.4535162500109664
5.1020408163265305,-8.36734693877551,0.0,-0.26706441211443405
5.510204081632654,-8.36734693877551,0.0,-0.11698654612770701
5.918367346938776,-8.36734693877551,0.0,-0.07002387470127366
6.326530612244898,-8.36734693877551,0.0,-0.15125983532528753
6.73469387755102,-8.36734693877551,0.0,-0.3298991138815431
7.142857142857142,-8.36734693877551,0.0,-0.527723911686607
7.551020408163264,-8.36734693877551,0.0,-0.6485327704417282
7.95918367346939,-8.36734693877551,0.0,-0.6174666495809027
8.367346938775512,-8.36734693877551,0.0,-0.4139369401978514
8.775510204081634,-8.36734693877551,0.0,-0.08362225877182694
9.183673469387756,-8.36734693877551,0.0,0.27660938728060747
9.591836734693878,-8.36734693877551,0.0,0.555400173568677
10.0,-8.36734693877551,0.0,0.670109973282314
-10.0,-7.959183673469388,0.0,0.18442704470080595
-9.591836734693878,-7.959183673469388,0.0,0.24966001423468417
-9.183673469387756,-7.959183673469388,0.0,0.3375518654136912
-8.775510204081632,-7.959183673469388,0.0,0.4104425346088948
-8.36734693877551,-7.959183673469388,0.0,0.4302081190618815
-7.959183673469388,-7.959183673469388,0.0,0.37417569837645226
-7.551020408163265,-7.959183673469388,0.0,0.24329767453215456
-7.142857142857142,-7.959183673469388,0.0,0.060326648261569166
-6.73469387755102,-7.959183673469388,0.0,-0.13977386335763392
-6.326530612244898,-7.959183673469388,0.0,-0.32223094779112504
-5.918367346938775,-7.959183673469388,0.0,-0.46262105204452275
-5.5102040816326525,-7.959183673469388,0.0,-0.5517237427563234
-5.1020408163265305,-7.959183673469388,0.0,-0.5947444014873645
-4.6938775510204085,-7.959183673469388,0.0,-0.6066939996978105
-4.285714285714286,-7.959183673469388,0.0,-0.606478865442821
-3.8775510204081627,-7.959183673469388,0.0,-0.6117608079341265
-3.4693877551020407,-7.959183673469388,0.0,-0.6355351255640864
-3.0612244897959187,-7.959183673469388,0.0,-0.684351242816368
-2.6530612244897958,-7.959183673469388,0.0,-0.7575918044904083
-2.244897959183673,-7.959183673469388,0.0,-0.8472800554786293
-1.8367346938775508,-7.959183673469388,0.0,-0.9383044816701046
-1.4285714285714288,-7.959183673469388,0.0,-1.0094578967144126
-1.020408163265305,-7.959183673469388,0.0,-1.0360138860130437
-0.612244897959183,-7.959183673469388,0.0,-0.9944567956018154
-0.204081632653061,-7.959183673469388,0.0,-0.8692742919222465
0.204081632653061,-7.959183673469388,0.0,-0.6604814444704288
0.612244897959183,-7.959183673469388,0.0,-0.3892214426555162
1.0204081632653068,-7.959183673469388,0.0,-0.09816272491357425
1.4285714285714288,-7.959183673469388,0.0,0.15574437426031185
1.8367346938775508,-7.959183673469388,0.0,0.31604321537897406
2.2448979591836746,-7.959183673469388,0.0,0.34541858725880525
2.6530612244897966,-7.959183673469388,0.0,0.24155330175179046
